ah  
hm* 
mmm* 
ohh*
sighed 
ugh uh
um
umm* 
rt
sighing
ahh*
dunno 
idontknow 
whoa
sigh
er
imean 
ohwell 
rr*
huh 
mm
idk
oh
sighs
well
