alright*
aw
awesome
indeed
mhm*
okay
uh-hu*
whooo*
woohoo*
yaas*
yass*
yeah
aok
ok
cool
kk
mmh*
yup
uhhu*
woo
wooo*
yah
yay*
yep*
duh
mmk*
whoo
yea
yes
